area_sqft,bedrooms,bathrooms,stories,house_age_years,parking_spaces,distance_to_city_km,location_score,furnished,price_inr
3674,4,5,2,27,0,17.8,9,Yes,2146315
1360,1,1,3,11,3,9.2,6,No,1406709
1794,2,2,3,11,3,9.1,7,Yes,1889029
1630,3,2,3,6,0,12.7,10,Yes,2331436
1595,4,4,2,25,3,30.0,2,No,500000
3592,1,1,2,12,0,2.6,10,No,2072755
2138,5,4,2,26,1,17.8,6,Semi,1663902
2669,3,2,2,7,3,3.4,6,Semi,2257295
966,2,2,2,30,3,5.5,2,No,556640
1738,2,2,3,28,0,13.7,2,Semi,500000
830,3,3,1,28,3,15.8,2,No,651592
1982,2,2,3,21,2,8.5,10,Yes,2197635
2635,4,4,1,27,1,10.2,1,No,1007387
3944,1,1,2,25,1,3.5,5,No,1113013
3671,4,4,1,29,3,9.8,8,No,2168289
3419,2,1,3,8,3,29.0,2,Yes,1066291
630,5,4,3,6,2,28.4,5,Semi,1446034
2185,1,1,1,30,2,10.7,8,Yes,1190512
3880,1,1,2,25,3,17.6,10,Semi,1911145
1269,3,4,2,20,3,27.4,5,No,758809
2891,3,2,3,23,2,1.2,2,No,1193634
2015,5,5,1,14,0,24.5,3,Semi,1578696
3985,1,1,2,1,2,28.5,6,Semi,1545090
3353,5,5,2,22,0,3.6,5,Semi,2488299
2933,3,4,3,30,1,5.7,4,No,1280189
1715,3,4,2,19,1,28.9,4,Yes,956671
1455,1,1,1,24,2,16.6,5,No,531952
2824,4,3,3,11,0,1.4,2,Yes,1820244
1684,2,2,3,0,2,8.5,9,No,2340137
959,3,3,1,22,2,14.0,2,Semi,500000
3885,3,4,3,21,0,21.1,10,No,2021133
521,4,5,2,7,2,22.3,2,Semi,1378826
2800,4,4,2,4,1,29.9,10,Semi,2584172
1247,5,5,1,14,3,9.3,9,Semi,2869910
3404,5,5,2,0,3,16.6,3,Semi,2355485
974,2,3,1,0,2,16.5,10,Semi,2130761
1582,2,2,1,24,0,12.8,7,Semi,974044
